Date,Title,Artist,Rank,IsNew
2020-01-25,On Chill,Wale Featuring Jeremih,46,False
2020-01-25,Heartache Medication,Jon Pardi,47,False
2020-01-25,Talk,Khalid,48,False
2020-01-25,What If I Never Get Over You,Lady Antebellum,49,False
2020-01-25,Lover,Taylor Swift,50,False
2020-01-25,Kinfolks,Sam Hunt,51,False
2020-01-25,Ridin' Roads,Dustin Lynch,52,False
2020-01-25,U Played,MoneyBagg Yo Featuring Lil Baby,53,False
2020-01-25,Playing Games,Summer Walker,54,False
2020-01-25,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,55,False
2020-01-25,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,56,False
2020-01-25,VIBEZ,DaBaby,57,False
2020-01-25,Graveyard,Halsey,58,False
2020-01-25,Heat,Chris Brown Featuring Gunna,59,False
2020-01-25,Homesick,Kane Brown,60,False
2020-01-25,Heart On Ice,Rod Wave,61,False
2020-01-25,Start Wit Me,Roddy Ricch & Gunna,62,False
2020-01-25,No Idea,Don Toliver,63,False
2020-01-25,I Hope,Gabby Barrett Featuring Charlie Puth,64,False
2020-01-25,Out West,JACKBOYS Featuring Young Thug,65,False
2020-01-25,SUGAR,BrockHampton,66,False
2020-01-25,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,67,False
2020-01-25,BEST ON EARTH,Russ & BIA,68,False
2020-01-25,Tusa,Karol G & Nicki Minaj,69,False
2020-01-25,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,70,False
2020-01-25,Slide,H.E.R. Featuring YG,71,False
2020-01-25,We Back,Jason Aldean,72,False
2020-01-25,What She Wants Tonight,Luke Bryan,73,False
2020-01-25,Make Me Want To,Jimmie Allen,74,False
2020-01-25,I Wish Grandpas Never Died,Riley Green,75,False
2020-01-25,More Hearts Than Mine,Ingrid Andress,76,False
2020-01-25,Say So,Doja Cat Featuring Nicki Minaj,77,False
2020-01-25,Camelot,NLE Choppa,78,False
2020-01-25,Make No Sense,YoungBoy Never Broke Again,79,False
2020-01-25,Remember You Young,Thomas Rhett,80,False
2020-01-25,Easy,DaniLeigh Featuring Chris Brown,81,False
2020-01-25,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,82,False
2020-01-25,Eleven,Khalid,83,True
2020-01-25,All Dat,Moneybagg Yo X Megan Thee Stallion,84,False
2020-01-25,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",85,False
2020-01-25,Conversations In The Dark,John Legend,86,True
2020-01-25,I Hope You're Happy Now,Carly Pearce & Lee Brice,87,False
2020-01-25,Jerry Sprunger,Tory Lanez & T-Pain,88,False
2020-01-25,Protect da Brand,Moneybagg Yo Featuring DaBaby,89,True
2020-01-25,Into The Unknown,Idina Menzel & AURORA,90,False
2020-01-25,Vete,Bad Bunny,91,False
2020-01-25,Look At Her Now.,Selena Gomez,92,False
2020-01-25,homecoming queen?,Kelsea Ballerini,93,False
2020-01-25,Watermelon Sugar,Harry Styles,94,False
2020-01-25,Nice To Meet Ya,Niall Horan,95,False
2020-01-25,July,Noah Cyrus & Leon Bridges,96,False
2020-01-25,Peta,Roddy Ricch Featuring Meek Mill,97,False
2020-01-25,223's,YNW Melly & 9lokknine,98,False
2020-01-25,Slow Dance In A Parking Lot,Jordan Davis,99,False
2020-01-25,All I Want,Olivia Rodrigo,100,False
2020-02-01,The Box,Roddy Ricch,1,False
2020-02-01,Life Is Good,Future Featuring Drake,2,False
2020-02-01,Godzilla,Eminem Featuring Juice WRLD,3,True
2020-02-01,Circles,Post Malone,4,False
2020-02-01,Memories,Maroon 5,5,False
2020-02-01,"10,000 Hours",Dan + Shay & Justin Bieber,6,False
2020-02-01,Dance Monkey,Tones And I,7,False
2020-02-01,Someone You Loved,Lewis Capaldi,8,False
2020-02-01,Roxanne,Arizona Zervas,9,False
2020-02-01,Lose You To Love Me,Selena Gomez,10,False
2020-02-01,Yummy,Justin Bieber,11,False
2020-02-01,Good As Hell,Lizzo,12,False
2020-02-01,BOP,DaBaby,13,False
2020-02-01,Ballin',Mustard & Roddy Ricch,14,False
2020-02-01,Don't Start Now,Dua Lipa,15,False
2020-02-01,What A Man Gotta Do,Jonas Brothers,16,True
2020-02-01,HIGHEST IN THE ROOM,Travis Scott,17,False
2020-02-01,Good News,Mac Miller,18,False
2020-02-01,Heartless,The Weeknd,19,False
2020-02-01,High Fashion,Roddy Ricch Featuring Mustard,20,False
2020-02-01,Blinding Lights,The Weeknd,21,False
2020-02-01,The Bones,Maren Morris,22,False
2020-02-01,Everything I Wanted,Billie Eilish,23,False
2020-02-01,Trampoline,SHAED,24,False
2020-02-01,No Guidance,Chris Brown Featuring Drake,25,False
2020-02-01,You Should Be Sad,Halsey,26,False
2020-02-01,Hot Girl Bummer,blackbear,27,False
2020-02-01,Darkness,Eminem,28,True
2020-02-01,Woah,Lil Baby,29,False
2020-02-01,Senorita,Shawn Mendes & Camila Cabello,30,False
2020-02-01,Those Kinda Nights,Eminem Featuring Ed Sheeran,31,True
2020-02-01,Adore You,Harry Styles,32,False
2020-02-01,Sum 2 Prove,Lil Baby,33,False
2020-02-01,Suicidal,YNW Melly & Juice WRLD,34,False
2020-02-01,Only Human,Jonas Brothers,35,False
2020-02-01,Unaccommodating,Eminem Featuring Young M.A,36,True
2020-02-01,Falling,Trevor Daniel,37,False
2020-02-01,Blue World,Mac Miller,38,True
2020-02-01,Panini,Lil Nas X,39,False
2020-02-01,My Oh My,Camila Cabello Featuring DaBaby,40,False
2020-02-01,Bad Guy,Billie Eilish,41,False
2020-02-01,Hot,Young Thug Featuring Gunna,42,False
2020-02-01,Truth Hurts,Lizzo,43,False
