Artist,Spotify_Artist,Track,Track_ID
YoungBoy Never Broke Again,YoungBoy Never Broke Again,Untouchable,6xL9MJ2yt39HPPZPyGkRy8
Maren Morris,Maren Morris,I Could Use A Love Song,09iyGiljLWRYXdRazFkdtJ
Chris Janson,Chris Janson,Fix A Drink,0s6OWiWGuiCcm1Muzch5A8
Justin Bieber + BloodPop,Justin Bieber + BloodPop,Friends,7iNIg7XDEaYECfWD5dJ9Va
Gucci Mane Featuring Migos,Gucci Mane,I Get The Bag,1XRgIKC5TPwo7nWGyKqgG0
Kodak Black Featuring XXXTENTACION,Kodak Black,Roll In Peace,40oKW22ZNNkEdZLJTScaQI
Taylor Swift,Taylor Swift,Look What You Made Me Do,1P17dC1amhFzptugyAO7Il
Miley Cyrus,Miley Cyrus,Younger Now,2fGxYYMQbVqgIdaqfz2OwA
RiceGum Featuring Alissa Violet,RiceGum,Its Every Night Sis,15Uxmx6D6hW0gY5kc7bpqU
Kodak Black,Kodak Black,Transportin',1WIZiOuNO3woKfdlSK2gNn
Chris Brown,Chris Brown,Questions,3ojTJaonfkL96iIWa47SU3
XXXTENTACION,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96
Lil Uzi Vert Featuring Nicki Minaj,Lil Uzi Vert,The Way Life Goes,2eAZfqOm4EnOF9VvN50Tyc
XXXTENTACION Featuring Trippie Redd,XXXTENTACION,F**k Love,not found
Lil Uzi Vert,Lil Uzi Vert,Sauce It Up,1uL78kFWxhz3umTMWJu8n5
XXXTENTACION,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7
Lil Uzi Vert,Lil Uzi Vert,444+222,1QgTBfRN5m81a5K01qens6
Maroon 5 Featuring SZA,Maroon 5,What Lovers Do,2j5hsQvApottzvTn4pFJWF
Luke Bryan,Luke Bryan,Light It Up,5w3NgfV8v1nNZFLUBlGHIL
XXXTENTACION,XXXTENTACION,Revenge,5TXDeTFVRVY7Cvt0Dw4vWW
Lil Uzi Vert Featuring Pharrell Williams,Lil Uzi Vert,Neon Guts,1MJErNPIQUoEMu4YUUmecm
Lil Uzi Vert,Lil Uzi Vert,Two,0uxSUdBrJy9Un0EYoBowng
Lil Uzi Vert,Lil Uzi Vert,X,7GX5flRQZVHRAGd6B4TmDO
Lil Uzi Vert,Lil Uzi Vert,For Real,3tcoEYOZUHKB3RKNByIN13
Lil Uzi Vert Featuring The Weeknd,Lil Uzi Vert,UnFazed,5O8x1YlmLQopQHErxtDfi9
Lil Uzi Vert,Lil Uzi Vert,No Sleep Leak,0QV16pno66L6K3fn4W13b7
XXXTENTACION,XXXTENTACION,Depression & Obsession,2H3wWrnO758y0fPH7Ilerg
Lil Uzi Vert,Lil Uzi Vert,Dark Queen,2ZdCrBA52bb4pIG3tOOZiQ
XXXTENTACION,XXXTENTACION,Save Me,2UwbhMie1EAYuTZ0QXeMwl
XXXTENTACION,XXXTENTACION,Carry On,2yZax79pOrYuyIFVW2cZY2
Demi Lovato,Demi Lovato,Tell Me You Love Me,21RCuMVSlblTmyYm2DnPCR
Taylor Swift,Taylor Swift,...Ready For It?,2yLa0QULdQr0qAIvVwN6B5
Bhad Bhabie,Bhad Bhabie,These Heaux,6SUxrwVN19Kmd9JfIbjJUj
Halsey,Halsey,Bad At Love,7y9iMe8SOB6z3NoHE2OfXl
LANCO,LANCO,Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK
Miguel Featuring Travis Scott,Miguel,Sky Walker,5WoaF1B5XIEnWfmb5NZikf
DeJ Loaf,DeJ Loaf,No Fear,2H881m3JRA8lpuuwaQL6zy
Sam Smith,Sam Smith,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5
Zayn Featuring Sia,Zayn,Dusk Till Dawn,1j4kHkkpqZRBwE0A4CN4Yv
